kegg_id,median_MDA,quantile_25,quantile_75,gene_name,pathways,kegg_orthologs
K13923,2.262585244536504,1.001001502504383,3.693600111009324,pduL,Propanoate metabolism_,ko00640_
K13921,2.1563832396154394,1.001001502504383,3.7386550433033388,pduQ,Propanoate metabolism_,ko00640_
K01128,1.3619774100820528,0.474960846057733,2.050246822417186,SMPDL3,_,_
K08260,0.9012790995433417,0.1418793241144876,1.6474887299184124,cbiZ,Porphyrin and chlorophyll metabolism_Metabolic pathways_,ko00860_ko01100_
K01622,0.7869838827665872,0.14637475306244627,1.7068281744508618,K01622,Glycolysis / Gluconeogenesis_Pentose phosphate pathway_Fructose and mannose metabolism_Methane metabolism_Metabolic pathways_Biosynthesis of secondary metabolites_Microbial metabolism in diverse environments_Biosynthesis of antibiotics_Carbon metabolism_Biosynthesis of amino acids_,ko00010_ko00030_ko00051_ko00680_ko01100_ko01110_ko01120_ko01130_ko01200_ko01230_
K03078,0.7852659731473977,0,1.424228857814494,"ulaD, sgaH, sgbH",Pentose and glucuronate interconversions_Ascorbate and aldarate metabolism_Metabolic pathways_Microbial metabolism in diverse environments_,ko00040_ko00053_ko01100_ko01120_
K06036,0.7542484563161914,0.15271061658946128,1.558268670095682,NA,NA,NA
K00879,0.7043933196722656,0.24792161383043396,1.4177975300980656,fucK,Fructose and mannose metabolism_Microbial metabolism in diverse environments_,ko00051_ko01120_
K03796,0.6265418117748214,0.1833078668951874,1.0151837313156236,bax,_,_
K08589,0.582080972626186,0,1.2920415258466138,rgpA_B,Cationic antimicrobial peptide (CAMP) resistance_,ko01503_
K08298,0.4950732238477537,-0.054742780270726696,1.2220973527383345,caiB,_,_
K02430,0.480508499370831,0,0.9633194678691089,fucR,_,_
K01170,0.39112245343081314,0,0.9389806705676855,endA,_,_
K07308,0.3751304484512563,-0.05598594892241776,0.9818686403846074,dmsC,Sulfur metabolism_,ko00920_
K14084,0.3724474195086844,-0.16228809266321392,0.9492952998346942,mttC,Methane metabolism_Microbial metabolism in diverse environments_Carbon metabolism_,ko00680_ko01120_ko01200_
K13607,0.326687748275457,-0.0635803701894695,0.8622527616807341,fldA,"Tropane, piperidine and pyridine alkaloid biosynthesis_",ko00960_
K01492,0.3220859643177506,-0.3902709560501595,0.8569537930575135,purNH,Purine metabolism_One carbon pool by folate_Metabolic pathways_Biosynthesis of secondary metabolites_Biosynthesis of antibiotics_,ko00230_ko00670_ko01100_ko01110_ko01130_
